date,maxT,minT,weather,wind
2020-10-01,20,15,雷阵雨/小到中雨,西南风4-5级/西南风4-5级
2020-10-02,21,14,晴/晴,西北风4-5级/西北风4-5级
2020-10-03,22,13,晴/阴,西南风4-5级/西南风4-5级
2020-10-04,17,12,晴/晴,西北风5-6级/西北风5-6级
2020-10-05,17,11,晴/晴,西北风4-5级/西北风4-5级
2020-10-06,20,14,晴/多云,西风3-4级/西风3-4级
2020-10-07,21,14,多云/晴,西南风3-4级/西南风3-4级
2020-10-08,21,14,晴/多云,东南风3-4级/东南风3-4级
2020-10-09,22,15,多云/晴,东南风3-4级/东南风3-4级
2020-10-10,21,15,晴/多云,南风3-4级/南风3-4级
2020-10-11,20,10,多云/晴,北风4-5级/北风4-5级
2020-10-12,16,10,晴/晴,北风4-5级/北风4-5级
2020-10-13,20,8,多云/多云,西风4-5级/西风4-5级
2020-10-14,14,9,多云/多云,东北风4-5级/东北风4-5级
2020-10-15,16,11,小雨/小雨,西风3-4级/西风3-4级
2020-10-16,17,11,雷阵雨/晴,西北风4-5级/西北风4-5级
2020-10-17,19,12,晴/晴,西南风4-5级/西南风4-5级
2020-10-18,20,13,晴/晴,西风3-4级/西风3-4级
2020-10-19,21,14,晴/晴,西南风3-4级/西南风3-4级
2020-10-20,20,14,晴/多云,西南风4-5级/西南风4-5级
2020-10-21,18,8,阵雨/晴,西北风4-5级/西北风4-5级
2020-10-22,12,7,晴/晴,北风4-5级/北风4-5级
2020-10-23,12,7,晴/晴,北风4-5级/北风4-5级
2020-09-01,27,20,多云/多云,西南风3-4级/西南风3-4级
2020-09-02,27,21,多云/雷阵雨,北风4-5级/北风4-5级
2020-09-03,24,18,小雨/小雨,西北风5-6级/西北风5-6级
2020-09-04,26,21,多云/多云,西南风4-5级/西南风4-5级
2020-09-05,27,21,雷阵雨/雷阵雨,南风4-5级/南风4-5级
2020-09-06,27,20,多云/多云,东北风3-4级/东北风3-4级
2020-09-07,25,20,多云/多云,北风5-6级/北风5-6级
2020-09-08,26,20,多云/多云,西北风4-5级/西北风4-5级
2020-09-09,26,18,多云/多云,西风3-4级/西风3-4级
2020-09-10,24,18,雷阵雨/雷阵雨,北风3-4级/北风3-4级
2020-09-11,23,19,雷阵雨/雷阵雨,东北风3-4级/东北风3-4级
2020-09-12,25,19,多云/多云,东风3-4级/东风3-4级
2020-09-13,25,19,晴/晴,北风3-4级/北风3-4级
2020-09-14,25,19,多云/多云,西风3-4级/西风3-4级
2020-09-15,24,19,雷阵雨/中雨,南风4-5级/南风4-5级
2020-09-16,24,18,多云/晴,西风4-5级/西风4-5级
2020-09-17,24,18,晴/晴,西风4-5级/西风4-5级
2020-09-18,25,18,晴/晴,西风4-5级/西风4-5级
2020-09-19,25,18,晴/晴,西风3-4级/西风3-4级
2020-09-20,24,17,晴/晴,北风3-4级/北风3-4级
2020-09-21,24,17,晴/多云,东南风3-4级/东南风3-4级
2020-09-22,24,17,多云/多云,南风3-4级/南风3-4级
2020-09-23,23,17,多云/多云,东风3-4级/东风3-4级
2020-09-24,23,17,多云/多云,东风3-4级/东风3-4级
2020-09-25,23,16,晴/晴,东北风3-4级/东北风3-4级
2020-09-26,24,17,晴/晴,北风3-4级/北风3-4级
2020-09-27,24,18,晴/晴,南风3-4级/南风3-4级
2020-09-28,24,17,多云/阴,西南风4-5级/西南风4-5级
2020-09-29,19,13,阵雨/晴,北风5-6级/北风5-6级
2020-09-30,19,13,晴/多云,北风4-5级/北风4-5级
2020-08-01,28,24,阵雨/多云,南风4-5级/南风4-5级
2020-08-02,27,23,中到大雨/多云,南风5-6级/南风5-6级
2020-08-03,29,23,多云/多云,南风5-6级/南风5-6级
2020-08-04,30,23,多云/小到中雨,南风5-6级/南风5-6级
2020-08-05,27,23,中到大雨/雷阵雨,东南风5-6级/东南风5-6级
2020-08-06,30,23,多云/多云,北风5-6级/北风5-6级
2020-08-07,28,22,晴/晴,东南风4-5级/东南风4-5级
2020-08-08,27,22,晴/多云,东风5-6级/东风5-6级
2020-08-09,28,23,雷阵雨/多云,南风4-5级/南风4-5级
2020-08-10,29,23,晴/晴,南风4-5级/南风4-5级
2020-08-11,29,23,多云/多云,南风4-5级/南风4-5级
2020-08-12,28,23,多云/雷阵雨,东南风4-5级/东南风4-5级
2020-08-13,27,23,雷阵雨/阴,西南风5-6级/西南风5-6级
2020-08-14,30,24,多云/晴,西南风3-4级/西南风3-4级
2020-08-15,28,23,晴/晴,东南风4-5级/东南风4-5级
2020-08-16,28,22,晴/晴,西南风4-5级/西南风4-5级
2020-08-17,29,25,多云/多云,南风3-4级/南风3-4级
2020-08-18,30,25,多云/多云,南风3-4级/南风3-4级
2020-08-19,28,24,多云/多云,东北风5-6级/东北风5-6级
2020-08-20,25,24,阵雨/多云,东北风5-6级/东北风5-6级
2020-08-21,25,25,晴/晴,东北风4-5级/东北风4-5级
2020-08-22,26,20,多云/多云,北风3-4级/北风3-4级
2020-08-23,26,22,多云/雷阵雨,南风5-6级/南风5-6级
2020-08-24,27,22,大雨/小雨,南风5-6级/南风5-6级
2020-08-25,28,22,多云/雷阵雨,东南风4-5级/东南风4-5级
2020-08-26,26,23,中雨/中雨,北风5-6级/北风5-6级
2020-08-27,26,22,小雨/多云,北风4-5级/北风4-5级
2020-08-28,26,21,多云/多云,南风3-4级/南风3-4级
2020-08-29,28,22,晴/晴,北风3-4级/北风3-4级
2020-08-30,29,23,晴/多云,东北风3-4级/东北风3-4级
2020-08-31,27,22,小到中雨/阵雨,东南风4-5级/东南风4-5级
2020-07-01,30,22,晴/晴,西北风4-5级/西北风4-5级
2020-07-02,28,21,多云/多云,东南风4-5级/东南风4-5级
2020-07-03,25,19,多云/多云,东南风3-4级/东南风3-4级
2020-07-04,26,20,多云/多云,南风4-5级/南风4-5级
2020-07-04,26,20,多云/多云,南风4-5级/南风4-5级
2020-07-05,25,20,小到中雨/小到中雨,南风5-6级/南风5-6级
2020-07-05,25,20,小到中雨/小到中雨,南风5-6级/南风5-6级
2020-07-06,25,20,阴/多云,东南风3-4级/东南风3-4级
2020-07-07,27,21,多云/晴,北风4-5级/北风4-5级
2020-07-08,29,20,晴/晴,北风4-5级/北风4-5级
2020-07-09,26,20,多云/多云,东南风4-5级/东南风4-5级
2020-07-10,27,20,多云/多云,东南风4-5级/东南风4-5级
2020-07-11,27,21,晴/多云,东南风4-5级/东南风4-5级
2020-07-12,25,20,阵雨/阵雨,东风5-6级/东风5-6级
2020-07-13,25,20,阵雨/阵雨,东北风4-5级/东北风4-5级
2020-07-14,27,21,多云/多云,西南风4-5级/西南风4-5级
2020-07-15,27,21,晴/晴,南风4-5级/南风4-5级
2020-07-16,27,21,晴/多云,南风4-5级/南风4-5级
2020-07-17,26,21,多云/多云,东南风4-5级/东南风4-5级
2020-07-18,24,21,多云/小到中雨,东风5-6级/东风5-6级
2020-07-19,23,20,中到大雨/阵雨,东风6-7级/东风6-7级
2020-07-20,28,22,多云/晴,西北风4-5级/西北风4-5级
2020-07-21,29,21,晴/晴,南风4-5级/南风4-5级
2020-07-22,26,22,多云/阵雨,东南风4-5级/东南风4-5级
2020-07-23,25,21,阵雨/多云,东北风5-6级/东北风5-6级
2020-07-24,28,21,晴/晴,北风4-5级/北风4-5级
2020-07-25,30,22,晴/多云,南风4-5级/南风4-5级
2020-07-26,26,21,多云/多云,东南风4-5级/东南风4-5级
2020-07-27,27,22,多云/多云,东南风4-5级/东南风4-5级
2020-07-28,26,21,多云/多云,东南风3-4级/东南风3-4级
2020-07-29,26,21,多云/多云,南风4-5级/南风4-5级
2020-07-30,29,23,晴/多云,南风4-5级/南风4-5级
2020-07-31,27,23,多云/雷阵雨,南风4-5级/南风4-5级
2020-06-01,23,16,晴/中雨,西南风5-6级/西南风5-6级
2020-06-02,21,15,阴/晴,西北风5-6级/西北风5-6级
2020-06-03,25,15,晴/晴,西南风4-5级/西南风4-5级
2020-06-04,26,17,晴/晴,北风1-2级/北风1-2级
2020-06-05,24,17,多云/晴,东北风4-5级/东北风4-5级
2020-06-06,26,17,晴/晴,东北风4-5级/东北风4-5级
2020-06-07,26,19,晴/晴,南风5-6级/南风5-6级
2020-06-08,28,18,晴/多云,南风4-5级/南风4-5级
2020-06-09,23,18,多云/多云,东南风4-5级/东南风4-5级
2020-06-10,21,18,小雨/多云,南风4-5级/南风4-5级
2020-06-11,23,17,多云/多云,南风4-5级/南风4-5级
2020-06-12,26,18,多云/多云,南风4-5级/南风4-5级
2020-06-13,23,18,多云/晴,东南风4-5级/东南风4-5级
2020-06-14,27,19,晴/晴,西风4-5级/西风4-5级
2020-06-15,31,20,晴/晴,西北风5-6级/西北风5-6级
2020-06-16,28,20,晴/多云,东南风4-5级/东南风4-5级
2020-06-17,29,20,多云/多云,西南风4-5级/西南风4-5级
2020-06-18,27,21,多云/晴,北风4-5级/北风4-5级
2020-06-19,30,20,晴/晴,北风4-5级/北风4-5级
2020-06-20,28,20,晴/晴,南风4-5级/南风4-5级
2020-06-21,29,20,晴/晴,南风4-5级/南风4-5级
2020-06-22,27,21,晴/多云,南风4-5级/南风4-5级
2020-06-23,24,20,小到中雨/小到中雨,东南风4-5级/东南风4-5级
2020-06-24,22,18,多云/多云,东北风6-7级/东北风6-7级
2020-06-25,26,20,多云/多云,东北风4-5级/东北风4-5级
2020-06-26,27,21,多云/阵雨,南风4-5级/南风4-5级
2020-06-27,27,20,多云/晴,北风4-5级/北风4-5级
2020-06-28,29,21,晴/多云,东南风4-5级/东南风4-5级
2020-06-29,26,19,多云/多云,东风4-5级/东风4-5级
2020-06-30,25,21,阵雨/晴,北风4-5级/北风4-5级
2020-05-01,22,11,晴/晴,南风5-6级/南风5-6级
2020-05-02,20,11,晴/多云,南风5-6级/南风5-6级
2020-05-03,16,8,小雨/多云,北风5-6级/北风5-6级
2020-05-04,14,10,多云/晴,北风5-6级/北风5-6级
2020-05-05,19,11,晴/晴,西南风4-5级/西南风4-5级
2020-05-06,19,11,晴/多云,东北风4-5级/东北风4-5级
2020-05-07,18,11,多云/小雨,东南风5-6级/东南风5-6级
2020-05-08,14,10,大雨/大雨,东风6-7级/东风6-7级
2020-05-09,16,11,小雨/多云,东北风5-6级/东北风5-6级
2020-05-10,22,12,晴/多云,西风5-6级/西风5-6级
2020-05-11,22,12,多云/多云,西南风6-7级/西南风6-7级
2020-05-12,21,12,晴/晴,西北风5-6级/西北风5-6级
2020-05-13,24,12,晴/晴,西南风5-6级/西南风5-6级
2020-05-14,20,11,小雨/小雨,南风6-7级/南风6-7级
2020-05-15,16,11,小雨/多云,东风5-6级/东风5-6级
2020-05-16,16,12,多云/雷阵雨,南风5-6级/南风5-6级
2020-05-17,20,12,多云/小到中雨,西南风4-5级/西南风4-5级
2020-05-18,14,11,中到大雨/小雨,北风7-8级/北风7-8级
2020-05-19,19,12,多云/晴,北风5-6级/北风5-6级
2020-05-20,23,13,晴/雷阵雨,东南风4-5级/东南风4-5级
2020-05-21,17,12,小到中雨/中雨,东南风5-6级/东南风5-6级
2020-05-22,19,13,多云/多云,南风5-6级/南风5-6级
2020-05-23,17,13,雷阵雨/多云,东北风5-6级/东北风5-6级
2020-05-24,22,15,晴/晴,西北风4-5级/西北风4-5级
2020-05-25,23,14,晴/雷阵雨,西南风4-5级/西南风4-5级
2020-05-26,20,15,多云/多云,西南风4-5级/西南风4-5级
2020-05-27,20,14,雷阵雨/多云,西南风4-5级/西南风4-5级
2020-05-28,22,14,晴/阵雨,东南风5-6级/东南风5-6级
2020-05-29,21,14,多云/多云,南风5-6级/南风5-6级
2020-05-30,22,15,多云/多云,南风5-6级/南风5-6级
2020-05-31,19,15,雷阵雨/多云,南风5-6级/南风5-6级
2020-04-01,11,5,晴/晴,北风5-6级/北风5-6级
2020-04-02,14,6,晴/晴,西南风5-6级/西南风5-6级
2020-04-03,16,6,晴/晴,西南风5-6级/西南风5-6级
2020-04-04,9,3,晴/晴,北风6-7级/北风6-7级
2020-04-05,13,6,晴/晴,西南风5-6级/西南风5-6级
2020-04-06,16,7,晴/小雨,西南风4-5级/西南风4-5级
2020-04-07,13,5,晴/晴,北风5-6级/北风5-6级
2020-04-08,13,6,晴/晴,北风5-6级/北风5-6级
2020-04-09,13,6,多云/晴,北风5-6级/北风5-6级
2020-04-10,14,7,晴/晴,北风5-6级/北风5-6级
2020-04-11,16,7,晴/晴,西北风5-6级/西北风5-6级
2020-04-12,15,8,晴/晴,北风5-6级/北风5-6级
2020-04-13,18,10,晴/晴,北风4-5级/北风4-5级
2020-04-14,20,10,晴/晴,南风5-6级/南风5-6级
2020-04-15,16,9,晴/多云,东南风4-5级/东南风4-5级
2020-04-16,14,8,中雨/小雨,东南风6-7级/东南风6-7级
2020-04-17,13,8,阵雨/晴,北风5-6级/北风5-6级
2020-04-18,18,9,晴/多云,北风4-5级/北风4-5级
2020-04-19,14,6,小雨/小雨,南风4-5级/南风4-5级
2020-04-20,14,7,多云/晴,西北风6-7级/西北风6-7级
2020-04-21,12,5,晴/晴,西北风6-7级/西北风6-7级
2020-04-22,11,6,晴/晴,西北风5-6级/西北风5-6级
2020-04-23,13,8,晴/晴,西北风5-6级/西北风5-6级
2020-04-24,18,9,晴/多云,西南风6-7级/西南风6-7级
2020-04-25,15,8,晴/晴,北风6-7级/北风6-7级
2020-04-26,17,9,多云/晴,西北风4-5级/西北风4-5级
2020-04-27,18,10,晴/晴,西风5-6级/西风5-6级
2020-04-28,20,13,晴/晴,西南风5-6级/西南风5-6级
2020-04-29,20,12,晴/多云,西南风5-6级/西南风5-6级
2020-04-30,19,12,晴/晴,南风5-6级/南风5-6级
2020-03-01,4,0,多云/晴,北风4-5级/北风4-5级
2020-03-02,4,0,晴/多云,北风4-5级/北风4-5级
2020-03-03,6,-1,阴/多云,西风5-6级/西风5-6级
2020-03-04,3,-1,晴/晴,西北风5-6级/西北风5-6级
2020-03-05,5,0,晴/晴,西南风5-6级/西南风5-6级
2020-03-06,9,3,晴/小雨,南风5-6级/南风5-6级
2020-03-07,6,3,小雨/多云,东南风4-5级/东南风4-5级
2020-03-08,9,4,多云/多云,东南风4-5级/东南风4-5级
2020-03-09,7,0,小雨/多云,北风4-5级/北风4-5级
2020-03-10,6,0,晴/晴,西北风5-6级/西北风5-6级
2020-03-11,9,4,晴/晴,南风4-5级/南风4-5级
2020-03-12,10,0,多云/多云,北风5-6级/北风5-6级
2020-03-13,6,2,晴/晴,西风4-5级/西风4-5级
2020-03-14,9,2,晴/晴,西风5-6级/西风5-6级
2020-03-15,5,-2,晴/晴,北风6-7级/北风6-7级
2020-03-16,8,1,晴/多云,西南风5-6级/西南风5-6级
2020-03-17,12,7,晴/晴,西北风5-6级/西北风5-6级
2020-03-18,15,4,晴/晴,南风5-6级/南风5-6级
2020-03-19,9,4,晴/晴,西北风6-7级/西北风6-7级
2020-03-20,13,4,多云/晴,西南风6-7级/西南风6-7级
2020-03-21,13,6,多云/晴,东北风5-6级/东北风5-6级
2020-03-22,11,6,晴/晴,西风4-5级/西风4-5级
2020-03-23,16,6,晴/晴,北风5-6级/北风5-6级
2020-03-24,13,7,晴/晴,南风5-6级/南风5-6级
2020-03-25,15,7,多云/阴,南风5-6级/南风5-6级
2020-03-26,10,2,小雨/多云,北风6-7级/北风6-7级
2020-03-27,8,1,晴/晴,北风5-6级/北风5-6级
2020-03-28,10,3,晴/晴,西北风4-5级/西北风4-5级
2020-03-29,12,4,晴/晴,南风4-5级/南风4-5级
2020-03-30,14,6,晴/晴,西南风5-6级/西南风5-6级
2020-03-31,14,7,多云/多云,西南风4-5级/西南风4-5级
2020-02-01,0,-4,晴/多云,北风5-6级/北风5-6级
2020-02-02,-1,-6,小雪/多云,东北风4-5级/东北风4-5级
2020-02-03,0,-4,晴/晴,北风4-5级/北风4-5级
2020-02-04,-4,-11,阴/晴,北风6-7级/北风6-7级
2020-02-05,-7,-11,晴/晴,北风5-6级/北风5-6级
2020-02-06,-1,-10,多云/阴,东北风4-5级/东北风4-5级
2020-02-07,2,-3,阴/晴,西风5-6级/西风5-6级
2020-02-08,2,-3,晴/晴,北风4-5级/北风4-5级
2020-02-09,5,-1,晴/晴,西南风5-6级/西南风5-6级
2020-02-10,6,-1,晴/晴,南风4-5级/南风4-5级
2020-02-11,8,3,晴/晴,南风5-6级/南风5-6级
2020-02-12,7,3,多云/多云,南风4-5级/南风4-5级
2020-02-13,10,2,晴/多云,南风4-5级/南风4-5级
2020-02-14,5,-6,小雨/大到暴雪,东北风5-6级/东北风5-6级
2020-02-15,-4,-7,小雪/多云,北风6-7级/北风6-7级
2020-02-16,-4,-9,多云/晴,北风6-7级/北风6-7级
2020-02-17,-1,-6,多云/晴,北风6-7级/北风6-7级
2020-02-18,5,-1,晴/晴,西南风4-5级/西南风4-5级
2020-02-19,6,1,晴/晴,东风4-5级/东风4-5级
2020-02-20,6,2,多云/阴,东南风4-5级/东南风4-5级
2020-02-21,5,-1,小雨/晴,西南风5-6级/西南风5-6级
2020-02-22,4,0,晴/晴,西北风5-6级/西北风5-6级
2020-02-23,8,3,晴/晴,西南风5-6级/西南风5-6级
2020-02-24,7,4,多云/小雨,东风4-5级/东风4-5级
2020-02-25,7,-1,阴/晴,东北风5-6级/东北风5-6级
2020-02-26,3,-2,晴/晴,北风5-6级/北风5-6级
2020-02-27,4,0,多云/小雨,东北风4-5级/东北风4-5级
2020-02-28,6,0,多云/多云,西南风4-5级/西南风4-5级
2020-02-29,5,1,晴/多云,东风4-5级/东风4-5级
2020-01-01,2,-4,晴/晴,西风4-5级/西风4-5级
2020-01-02,4,-3,晴/晴,西北风4-5级/西北风4-5级
2020-01-03,5,-1,晴/晴,西风4-5级/西风4-5级
2020-01-04,5,-2,晴/晴,北风4-5级/北风4-5级
2020-01-05,4,0,多云/小雨,东南风4-5级/东南风4-5级
2020-01-06,5,-1,雨夹雪/多云,东南风4-5级/东南风4-5级
2020-01-07,0,-6,阴/多云,北风6-7级/北风6-7级
2020-01-08,-2,-5,多云/晴,北风7-8级/北风7-8级
2020-01-09,1,-3,晴/晴,西北风4-5级/西北风4-5级
2020-01-10,4,-4,晴/多云,西风4-5级/西风4-5级
2020-01-11,-1,-6,多云/多云,北风5-6级/北风5-6级
2020-01-12,-2,-7,晴/晴,北风5-6级/北风5-6级
2020-01-13,0,-7,晴/晴,北风4-5级/北风4-5级
2020-01-14,-2,-8,晴/晴,北风5-6级/北风5-6级
2020-01-15,1,-5,晴/晴,西风4-5级/西风4-5级
2020-01-16,0,-6,晴/晴,北风4-5级/北风4-5级
2020-01-17,1,-4,晴/晴,西北风4-5级/西北风4-5级
2020-01-18,4,-2,晴/多云,西南风5-6级/西南风5-6级
2020-01-19,2,-3,晴/晴,西北风5-6级/西北风5-6级
2020-01-20,1,-3,晴/晴,西北风5-6级/西北风5-6级
2020-01-21,5,0,多云/多云,南风5-6级/南风5-6级
2020-01-22,7,1,多云/多云,西南风4-5级/西南风4-5级
2020-01-23,5,-4,晴/晴,北风4-5级/北风4-5级
2020-01-24,1,-5,晴/晴,北风5-6级/北风5-6级
2020-01-25,3,-3,晴/晴,北风4-5级/北风4-5级
2020-01-26,4,-2,晴/多云,东北风5-6级/东北风5-6级
2020-01-27,4,-1,多云/雨夹雪,东北风4-5级/东北风4-5级
2020-01-28,4,-5,雨夹雪/多云,北风5-6级/北风5-6级
2020-01-29,-2,-7,多云/晴,北风6-7级/北风6-7级
2020-01-30,-2,-7,晴/晴,北风6-7级/北风6-7级
2020-01-31,3,-4,晴/晴,北风5-6级/北风5-6级
2019-12-01,4,-2,多云/晴,北风5-6级/北风5-6级
2019-12-02,3,-2,晴/晴,北风6-7级/北风6-7级
2019-12-03,7,0,晴/晴,西风5-6级/西风5-6级
2019-12-04,4,-6,晴/晴,北风5-6级/北风5-6级
2019-12-05,-2,-9,晴/晴,北风6-7级/北风6-7级
2019-12-06,2,-2,阵雪/晴,西南风5-6级/西南风5-6级
2019-12-07,4,-3,晴/晴,北风4-5级/北风4-5级
2019-12-08,7,3,多云/多云,西南风5-6级/西南风5-6级
2019-12-09,7,1,多云/晴,西风4-5级/西风4-5级
2019-12-10,9,1,多云/多云,南风4-5级/南风4-5级
2019-12-11,4,-2,多云/晴,北风6-7级/北风6-7级
2019-12-12,6,-1,晴/晴,西南风5-6级/西南风5-6级
2019-12-13,9,0,多云/晴,西南风5-6级/西南风5-6级
2019-12-14,3,-1,晴/晴,北风5-6级/北风5-6级
2019-12-15,6,3,多云/小雨,西南风4-5级/西南风4-5级
2019-12-16,8,0,小雨/小雨,东南风5-6级/东南风5-6级
2019-12-17,1,-6,多云/晴,北风6-7级/北风6-7级
2019-12-18,0,-5,晴/晴,北风5-6级/北风5-6级
2019-12-19,4,-4,晴/多云,西北风5-6级/西北风5-6级
2019-12-20,4,-3,晴/多云,西南风5-6级/西南风5-6级
2019-12-21,4,0,多云/晴,西风5-6级/西风5-6级
2019-12-22,5,-3,小雨/多云,北风5-6级/北风5-6级
2019-12-23,-1,-6,晴/晴,北风5-6级/北风5-6级
2019-12-24,4,-4,多云/阴,南风4-5级/南风4-5级
2019-12-25,5,-4,多云/多云,北风5-6级/北风5-6级
2019-12-26,-2,-6,多云/晴,北风5-6级/北风5-6级
2019-12-27,4,-3,晴/晴,西南风5-6级/西南风5-6级
2019-12-28,8,2,晴/多云,南风5-6级/南风5-6级
2019-12-29,9,-6,多云/阴,西南风4-5级/西南风4-5级
2019-12-30,-5,-10,晴/晴,北风6-7级/北风6-7级
2019-12-31,-1,-8,晴/晴,西风5-6级/西风5-6级
2019-11-01,14,9,晴/多云,北风4-5级/北风4-5级
2019-11-02,16,7,多云/阴,西南风4-5级/西南风4-5级
2019-11-03,11,4,晴/晴,北风6-7级/北风6-7级
2019-11-04,13,5,晴/晴,北风4-5级/北风4-5级
2019-11-05,12,5,晴/晴,北风5-6级/北风5-6级
2019-11-06,14,4,多云/多云,西风4-5级/西风4-5级
2019-11-07,11,4,晴/晴,北风5-6级/北风5-6级
2019-11-08,14,8,晴/晴,西风5-6级/西风5-6级
2019-11-09,15,10,多云/小雨,南风4-5级/南风4-5级
2019-11-10,14,9,中雨/多云,南风4-5级/南风4-5级
2019-11-11,14,8,晴/晴,西北风5-6级/西北风5-6级
2019-11-12,16,10,晴/小雨,南风5-6级/南风5-6级
2019-11-13,10,-1,小雨/多云,北风6-7级/北风6-7级
2019-11-14,9,7,晴/多云,西南风5-6级/西南风5-6级
2019-11-15,10,5,晴/晴,东北风5-6级/东北风5-6级
2019-11-16,12,7,晴/多云,东风5-6级/东风5-6级
2019-11-17,12,0,小雨/雨夹雪,西北风6-7级/西北风6-7级
2019-11-18,3,0,多云/晴,北风3-4级/北风3-4级
2019-11-19,5,1,晴/晴,西北风5-6级/西北风5-6级
2019-11-20,10,6,晴/多云,南风4-5级/南风4-5级
2019-11-21,13,9,多云/多云,南风5-6级/南风5-6级
2019-11-22,14,10,多云/阴,南风5-6级/南风5-6级
2019-11-23,14,3,小雨/小到中雨,北风6-7级/北风6-7级
2019-11-24,2,-4,多云/晴,北风6-7级/北风6-7级
2019-11-25,1,-4,晴/多云,北风4-5级/北风4-5级
2019-11-26,6,-3,多云/晴,西南风5-6级/西南风5-6级
2019-11-27,-1,-6,晴/晴,北风6-7级/北风6-7级
2019-11-28,0,-5,晴/晴,北风5-6级/北风5-6级
2019-11-29,4,-1,晴/阴,北风4-5级/北风4-5级
2019-11-30,7,0,小雨/多云,西南风5-6级/西南风5-6级
2019-10-01,25,19,晴/晴,东南风4-5级/东南风4-5级
2019-10-02,25,18,晴/晴,东南风4-5级/东南风4-5级
2019-10-03,23,11,晴/多云,北风6-7级/北风6-7级
2019-10-04,13,7,阴/晴,北风6-7级/北风6-7级
2019-10-05,15,9,晴/晴,北风6-7级/北风6-7级
2019-10-06,18,12,晴/多云,北风3-4级/北风3-4级
2019-10-07,20,11,多云/多云,西风5-6级/西风5-6级
2019-10-08,18,13,晴/晴,北风6-7级/北风6-7级
2019-10-09,21,15,晴/多云,西南风5-6级/西南风5-6级
2019-10-10,19,14,小雨/多云,西南风4-5级/西南风4-5级
2019-10-11,20,12,晴/晴,东北风5-6级/东北风5-6级
2019-10-12,19,10,晴/晴,东北风5-6级/东北风5-6级
2019-10-13,15,7,多云/多云,北风5-6级/北风5-6级
2019-10-14,12,5,晴/晴,北风5-6级/北风5-6级
2019-10-15,15,10,晴/晴,北风4-5级/北风4-5级
2019-10-16,18,11,多云/多云,西风4-5级/西风4-5级
2019-10-17,18,12,多云/多云,西北风4-5级/西北风4-5级
2019-10-18,19,13,多云/多云,北风4-5级/北风4-5级
2019-10-19,20,13,晴/晴,西风4-5级/西风4-5级
2019-10-20,21,12,多云/多云,西南风5-6级/西南风5-6级
2019-10-21,20,13,晴/晴,东北风4-5级/东北风4-5级
2019-10-22,20,13,晴/晴,北风4-5级/北风4-5级
2019-10-23,20,13,晴/晴,东南风4-5级/东南风4-5级
2019-10-24,19,9,多云/小雨,东南风4-5级/东南风4-5级
2019-10-25,12,6,晴/晴,北风5-6级/北风5-6级
2019-10-26,15,8,晴/晴,北风4-5级/北风4-5级
2019-10-27,17,11,晴/多云,西南风5-6级/西南风5-6级
2019-10-28,17,8,多云/晴,西北风6-7级/西北风6-7级
2019-10-29,15,10,晴/晴,西北风4-5级/西北风4-5级
2019-10-30,19,12,晴/晴,西南风5-6级/西南风5-6级
2019-10-31,19,8,晴/晴,西风4-5级/西风4-5级
2019-09-01,28,21,晴/晴,西南风4-5级/西南风4-5级
2019-09-02,28,21,晴/晴,南风4-5级/南风4-5级
2019-09-03,28,22,晴/多云,南风4-5级/南风4-5级
2019-09-04,26,21,小到中雨/小雨,东北风5-6级/东北风5-6级
2019-09-05,26,21,多云/多云,南风6-7级/南风6-7级
2019-09-06,27,21,多云/雷阵雨,东南风4-5级/东南风4-5级
2019-09-07,24,21,大雨/小雨,北风7-8级/北风7-8级
2019-09-08,28,21,晴/晴,南风4-5级/南风4-5级
2019-09-09,28,21,晴/晴,东北风5-6级/东北风5-6级
2019-09-10,27,20,晴/晴,东北风5-6级/东北风5-6级
2019-09-11,25,18,多云/多云,东北风5-6级/东北风5-6级
2019-09-12,25,20,多云/阴,北风4-5级/北风4-5级
2019-09-13,24,20,中雨/小雨,南风5-6级/南风5-6级
2019-09-14,24,18,多云/晴,北风5-6级/北风5-6级
2019-09-15,26,19,晴/多云,西南风4-5级/西南风4-5级
2019-09-16,25,16,晴/晴,北风6-7级/北风6-7级
2019-09-17,24,15,晴/多云,西南风4-5级/西南风4-5级
2019-09-18,21,15,晴/晴,北风6-7级/北风6-7级
2019-09-19,23,17,多云/多云,西风4-5级/西风4-5级
2019-09-20,24,17,多云/多云,西南风4-5级/西南风4-5级
2019-09-21,25,16,晴/晴,东北风4-5级/东北风4-5级
2019-09-22,24,16,晴/晴,东北风6-7级/东北风6-7级
2019-09-23,24,17,晴/晴,北风5-6级/北风5-6级
2019-09-24,25,17,晴/晴,北风5-6级/北风5-6级
2019-09-25,25,18,晴/晴,北风4-5级/北风4-5级
2019-09-26,25,18,晴/晴,东南风4-5级/东南风4-5级
2019-09-27,25,18,晴/晴,东南风4-5级/东南风4-5级
2019-09-28,25,19,晴/晴,南风4-5级/南风4-5级
2019-09-29,27,20,晴/晴,西南风4-5级/西南风4-5级
2019-09-30,27,19,晴/晴,南风4-5级/南风4-5级
2019-08-01,31,25,多云/雷阵雨,南风4-5级/南风4-5级
2019-08-02,29,24,中雨/中雨,东南风4-5级/东南风4-5级
2019-08-03,28,24,小雨/多云,南风5-6级/南风5-6级
2019-08-04,30,25,多云/多云,南风4-5级/南风4-5级
2019-08-05,29,25,雷阵雨/多云,东南风4-5级/东南风4-5级
2019-08-06,30,25,多云/多云,东南风4-5级/东南风4-5级
